scenario_id,difficulty,family,schedule_exact,schedule_valid,position_accuracy,packet_precision,packet_recall,packet_f1,moved_exact,moved_abs_error,composite,policy
goalshield-easy-0000,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0000,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0001,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0001,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0001,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,latest_visible_key
goalshield-easy-0002,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0002,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0002,easy,shield,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1,0.12,latest_visible_key
goalshield-easy-0003,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0003,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0003,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,latest_visible_key
goalshield-easy-0004,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0004,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0005,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-easy-0005,easy,shield,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0.12,ignore_updates
goalshield-easy-0005,easy,shield,0.0,1.0,0.4,0.3333333333333333,1.0,0.5,1.0,0,0.255,apply_all_packets
goalshield-easy-0005,easy,shield,0.0,1.0,0.4,0.3333333333333333,1.0,0.5,1.0,0,0.255,same_team_any_status
goalshield-easy-0005,easy,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,latest_visible_key
